82,0,0,0
270,0,0,0
480,0,0,0
708,0,0,0
930,88,0,0
1128,0,0,0
1248,4,0,0
1552,0,0,0
1756,0,0,0
1946,88,0,0
2148,88,0,0
2362,0,0,0
2564,0,0,0
2778,0,0,0
3020,0,0,0
3230,0,0,0
3446,0,0,0
3668,0,0,0
3890,0,0,0
4092,0,0,0
4314,0,0,0
4538,0,0,0
4748,0,0,0
4970,0,0,0
5162,0,0,0
5418,0,0,0
5646,0,0,0
5872,0,0,0
6098,0,0,0
6316,0,0,0
6534,0,0,0
6738,0,0,0
6954,0,0,0
7168,0,0,0
7380,0,0,0
7594,0,0,0
7806,0,0,0
8002,0,0,0
8206,0,0,0
8410,0,0,0
8614,88,0,0
8820,0,0,0
8960,88,0,0
9204,88,0,0
9398,0,0,0
9600,0,0,0
9808,0,0,0
10010,0,0,0
10222,0,0,0
10430,88,0,0
10636,88,0,0
10822,0,0,0
10990,88,0,0
11158,0,0,0
11300,4,0,0
11502,0,0,0
11632,88,0,0
11794,0,0,0
11988,88,0,0
12148,88,0,0
12308,0,0,0
12468,88,0,0
12626,88,0,0
12752,0,0,0
12950,88,0,0
13114,0,0,0
13242,88,0,0
13432,88,0,0
13590,88,0,0
13760,0,0,0
13928,88,0,0
14094,88,0,0
14252,0,0,0
14414,88,0,0
14574,0,0,0
14736,88,0,0
14866,88,0,0
15058,0,0,0
15220,88,0,0
15344,88,0,0
15500,0,0,0
15686,88,0,0
15808,0,0,0
15998,88,0,0
16156,88,0,0
16306,0,0,0
16458,88,0,0
16612,0,0,0
16732,88,0,0
16916,88,0,0
17068,0,0,0
17224,88,0,0
17384,88,0,0
17540,0,0,0
17702,88,0,0
17866,88,0,0
18000,0,0,0
18200,88,0,0
18372,88,0,0
18504,0,0,0
18646,88,0,0
18854,88,0,0
19012,0,0,0
19140,88,0,0
19330,0,0,0
19486,88,0,0
19642,88,0,0
19802,0,0,0
19960,88,0,0
20114,88,0,0
20270,0,0,0
20428,88,0,0
20582,0,0,0
20740,88,0,0
20864,88,0,0
21056,0,0,0
21218,88,0,0
21346,88,0,0
21532,0,0,0
21688,88,0,0
21846,88,0,0
22008,0,0,0
22162,88,0,0
22318,0,0,0
22478,88,0,0
22644,88,0,0
22810,0,0,0
22972,88,0,0
23138,88,0,0
23302,0,0,0
23468,88,0,0
23638,88,0,0
23804,0,0,0
23970,88,0,0
24130,88,0,0
24292,0,0,0
24456,88,0,0
24618,88,0,0
24780,0,0,0
24950,88,0,0
25122,88,0,0
25294,0,0,0
25466,88,0,0
25642,88,0,0
25774,0,0,0
25968,88,0,0
26128,88,0,0
26254,0,0,0
26450,88,0,0
26604,88,0,0
26758,0,0,0
26914,88,0,0
27070,0,0,0
27222,88,0,0
27380,88,0,0
27540,0,0,0
27698,88,0,0
27858,88,0,0
28014,0,0,0
28176,88,0,0
28342,88,0,0
28514,0,0,0
28690,88,0,0
28864,88,0,0
29030,0,0,0
29200,88,0,0
29370,88,0,0
29532,0,0,0
29696,88,0,0
29856,88,0,0
30018,0,0,0
30186,88,0,0
30362,88,0,0
30528,0,0,0
30662,88,0,0
30862,88,0,0
31036,0,0,0
31206,88,0,0
31342,88,0,0
31542,0,0,0
31716,88,0,0
31886,88,0,0
32054,0,0,0
32204,88,0,0
32382,88,0,0
32546,0,0,0
32718,88,0,0
32856,88,0,0
33004,0,0,0
33240,88,0,0
33406,88,0,0
33568,0,0,0
33730,88,0,0
33894,88,0,0
34052,0,0,0
34182,88,0,0
34386,88,0,0
34564,88,0,0
34752,0,0,0
34934,88,0,0
35120,88,0,0
35256,0,0,0
35392,88,0,0
35636,88,0,0
35820,88,0,0
